amfi_code,sector_hhi,scheme_name,fund_house
100016,0.18058807999999998,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
100033,0.22764743999999998,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund
101206,0.18004225000000004,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF
101207,0.22272651000000002,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF
102885,0.18071201999999997,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund
102886,0.12402024,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
102887,0.25138255,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
118632,0.20725894,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF
118633,0.22120032000000003,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
118634,0.16029924,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF
118635,0.23749677,Nippon India ETF Nifty 50 BeES,Nippon India MF
119092,0.29676909,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
119093,0.1842332,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
119094,0.17510025,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund
119095,0.15958229000000002,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
119551,0.14249103999999999,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund
119552,0.22750834999999997,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund
119598,0.18808485000000003,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund
119599,0.23236120000000002,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
120503,0.18216749999999998,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF
120504,0.22121302999999998,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF
120505,0.23869504,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF
120506,0.23146434000000002,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF
120841,0.21589315000000003,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
120842,0.16206189,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
120843,0.13620616000000002,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF
125497,0.17241088,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund
125498,0.253155,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund
148567,0.20124815,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF
148568,0.21808584999999997,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF
148569,0.25499194,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF
149322,0.18269533000000002,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund
149323,0.24107664,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund
149324,0.18870081999999994,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund
